season,game_id,team_id,team_id-1
2014,2014020715,25,9
2014,2014020850,10,13
2003,2003021167,9,10
2014,2014021185,7,12
2015,2015020623,26,19
2017,2017020652,10,29
2006,2006020791,3,14
2008,2008021066,5,26
2008,2008020983,16,21
2003,2003021106,30,2
2011,2011020682,7,16
2016,2016020973,4,7
2003,2003020833,3,1
2005,2005020880,4,3
2006,2006020713,16,30
2005,2005020951,24,27
2011,2011020889,8,25
2011,2011020722,7,1
2013,2013020794,28,26
2018,2018020890,30,1
2010,2010020943,15,2
2008,2008020931,18,17
2018,2018021061,15,52
2005,2005021028,4,3
2018,2018021081,22,1
2013,2013020758,20,27
2014,2014021106,10,13
2011,2011020820,22,9
2018,2018020686,24,5
2009,2009020718,23,5
2003,2003020996,5,18
2010,2010020886,7,15
2010,2010020610,23,22
2008,2008020924,13,1
2005,2005020833,16,28
2016,2016020558,28,26
2014,2014020769,15,24
2016,2016021139,21,15
2018,2018020961,53,52
2011,2011020985,1,3
2003,2003021170,14,15
2010,2010020703,17,19
2005,2005020788,5,9
2003,2003020917,9,5
2014,2014021007,13,52
2011,2011020792,26,14
2009,2009020932,26,25
2014,2014020912,16,13
2018,2018021027,24,53
2003,2003020673,27,17
2006,2006020946,9,12
2008,2008021036,28,24
2018,2018021027,53,24
2011,2011020893,16,17
2003,2003020632,19,18
2010,2010020772,1,3
2009,2009021186,15,5
2010,2010020822,1,28
2014,2014020762,26,13
2015,2015020804,23,21
2017,2017020671,17,5
2008,2008020819,17,29
2013,2013021140,9,2
2005,2005020577,18,24
2006,2006021097,4,3
2010,2010020740,16,30
2018,2018021222,1,3
2017,2017020848,1,29
2013,2013020832,20,30
2010,2010020712,4,1
2016,2016020786,3,20
2008,2008020745,17,19
2016,2016020629,17,25
2006,2006021093,19,9
2005,2005021215,15,11
2008,2008020847,12,6
2008,2008021183,26,20
2006,2006020675,28,27
2008,2008020743,8,6
2011,2011020898,21,26
2014,2014020973,2,13
2006,2006020626,17,26
2013,2013020926,29,25
2015,2015020852,28,14
2010,2010020918,7,9
2013,2013020928,14,19
2013,2013020937,24,8
2006,2006020652,9,3
2009,2009020984,24,29
2008,2008020671,20,27
2003,2003021089,24,27
2015,2015021116,7,52
2006,2006020626,26,17
2014,2014021038,14,8
2013,2013021051,29,3
2013,2013021012,26,24
2018,2018020812,26,1
2018,2018021062,6,5
2003,2003021111,18,22
2018,2018021198,5,18
2016,2016020824,24,15
2009,2009020834,3,26
2005,2005020725,7,3
2013,2013020894,52,27
2005,2005020629,26,24
2014,2014020823,22,9
