Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2006,16,Chicago Blackhawks (CHI),29.285714286,11.380952381,5.761904762,13.428571429,13.523809524,9.238095238,4.714285714,1.904761905
2014,2,NY Islanders Islanders (NYI),29.583333333,16.75,3.166666667,12.083333333,22.833333333,7.333333333,8.833333333,2.75
2006,26,Los Angeles Kings (LAK),27.961538462,15.384615385,5.307692308,14.307692308,17.692307692,11.423076923,5.538461538,2.384615385
2016,23,Vancouver Canucks (VAN),30,14.476190476,2.666666667,12.238095238,20.333333333,8.666666667,6.333333333,2.571428571
2009,19,St Louis Blues (STL),29.681818182,14.454545455,4.136363636,12.363636364,18.863636364,5.090909091,5.318181818,1.863636364
2011,17,Detroit Red Wings (DET),27.357142857,15.857142857,3.928571429,9,22.785714286,7.928571429,8.357142857,2.642857143
2010,25,Dallas Stars (DAL),31,14.125,3.875,12.5,26.375,8.625,6.6875,2.875
2011,19,St Louis Blues (STL),26.375,15.875,3.375,11.75,20.3125,7.25,7,2.4375
2005,25,Dallas Stars (DAL),26.666666667,12.75,6.583333333,19.333333333,15.666666667,11.333333333,8,2.416666667
2008,11,Atlanta Thrashers (ATL),33.56,11.52,3.96,12.2,12.6,6.36,7.24,2.44
2017,13,Florida Panthers (FLA),35.095238095,13.714285714,3.095238095,9.238095238,17.714285714,10.666666667,9.333333333,2.761904762
2010,22,Edmonton Oilers (EDM),33.375,13.5,3.666666667,14.833333333,20.041666667,11.208333333,9.541666667,2.5
2018,54,Vegas Golden Knights (VGK),29.421052632,16.473684211,3,5.894736842,25.157894737,10.526315789,9.578947368,2.842105263
2009,28,San Jose Sharks (SJS),32.533333333,13.8,3.933333333,11.6,23.866666667,7.933333333,7.8,2.266666667
2014,3,NY Rangers Rangers (NYR),29.866666667,15.533333333,3.133333333,8.533333333,25.333333333,9.4,5.866666667,2.466666667
2003,27,Phoenix Coyotes (PHX),29.571428571,11.5,5.571428571,19.357142857,16.214285714,8,7,2.714285714
2018,16,Chicago Blackhawks (CHI),34.730769231,15.884615385,2.846153846,7.692307692,20.807692308,9.269230769,9.576923077,2.730769231
2009,4,Philadelphia Flyers (PHI),27.2,16.65,4.7,18.5,17.5,8.55,7.4,2.4
2014,22,Edmonton Oilers (EDM),30.172413793,15.620689655,3.068965517,9.482758621,25.275862069,9.862068966,7.068965517,2.620689655
2017,1,New Jersey Devils (NJD),33.0625,14.5625,2.8125,7.9375,28.5,8.9375,8.8125,2.625
2017,12,Carolina Hurricanes (CAR),27.95,18.65,2.2,6.05,22.5,9.9,10.6,2.55
2018,24,Anaheim Ducks (ANA),36.476190476,15.714285714,3.428571429,8.666666667,20.714285714,12.333333333,7.190476190,2.523809524
2015,19,St Louis Blues (STL),28.5625,14.375,2.875,8.625,25.9375,6.8125,7.125,2.625
2017,10,Toronto Maple Leafs (TOR),32,16.764705882,2.764705882,6.411764706,19.705882353,10.882352941,8,2.235294118
2013,19,St Louis Blues (STL),26.583333333,16.75,3.5,13.333333333,22.083333333,8.916666667,5.916666667,3
2003,25,Dallas Stars (DAL),24.375,11.1875,3.0625,14.5625,15.8125,13.375,8.9375,2.3125
2010,23,Vancouver Canucks (VAN),30.846153846,16.538461538,4.307692308,10.230769231,21.846153846,7.846153846,7.384615385,2.461538462
2018,7,Buffalo Sabres (BUF),33.368421053,13.368421053,3.315789474,8.052631579,20.842105263,9.842105263,6.947368421,2.789473684
2013,14,Tampa Bay Lightning (TBL),27.875,11.875,3,11.5625,22.375,6.1875,6.1875,2.375
2015,26,Los Angeles Kings (LAK),27.076923077,14.307692308,3.615384615,8.923076923,24.538461538,6.615384615,4.846153846,2.461538462
