Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2006,16,Chicago Blackhawks (CHI),6.619236037,4.706125694,1.921061215,4.728334047,4.467874748,9.153713792,3.257957292,0.995226703
2014,2,NY Islanders Islanders (NYI),5.517877282,4.845335151,1.267304465,5.282188481,7.469128382,3.576014372,3.459724985,0.452267017
2006,26,Los Angeles Kings (LAK),5.473432336,3.899506872,2.345535858,8.351139950,5.387164232,4.410651443,3.455207886,0.852146611
2016,23,Vancouver Canucks (VAN),6.156297589,5.988481006,1.197219000,15.588151789,7.709301741,4.683303677,2.008316044,0.978336781
2009,19,St Louis Blues (STL),7.073669241,5.360590521,1.833431717,8.477114595,5.914433150,3.145807352,3.695381463,0.833549755
2011,17,Detroit Red Wings (DET),4.939746846,4.688072309,2.464026902,5.491251784,5.337509812,4.827235006,3.410552467,0.633323694
2010,25,Dallas Stars (DAL),7.465476096,5.149433626,1.927865832,9.345230513,7.292690404,3.095695937,2.088659857,0.341565026
2011,19,St Louis Blues (STL),6.238322424,4.177319715,1.360147051,6.016643583,8.014310118,4.837354649,4.179314138,0.892094913
2005,25,Dallas Stars (DAL),7.340217155,4.974937186,2.466441431,7.992420652,7.655459529,5.726070100,3.384456449,0.792961461
2008,11,Atlanta Thrashers (ATL),6.665083145,3.927679552,1.135781669,7.239935543,6.861729617,4.338586559,3.608785576,0.506622805
2017,13,Florida Panthers (FLA),8.239567719,3.900549412,1.445847914,5.691263145,7.057923612,3.468909531,3.864367132,0.436435780
2010,22,Edmonton Oilers (EDM),6.920747007,4.558794654,1.606147610,14.633691521,5.425216218,4.791107403,3.501293757,0.589767825
2018,54,Vegas Golden Knights (VGK),7.396063438,5.862957360,1.699673171,2.051956704,9.400136866,6.336564273,5.305299127,0.501459857
2009,28,San Jose Sharks (SJS),6.092931111,3.931557307,1.751190072,4.468940431,7.836422896,2.685055644,2.980891525,0.593616840
2014,3,NY Rangers Rangers (NYR),4.657814734,3.777124126,1.060098827,3.925496632,8.164965809,4.272837799,3.440653316,0.639940473
2003,27,Phoenix Coyotes (PHX),6.641527694,4.502136245,2.622807824,9.755528159,4.676924884,5.306019803,6.468860321,0.825420306
2018,16,Chicago Blackhawks (CHI),7.329707728,5.609470015,1.317339977,4.027597108,6.800113121,6.618505525,4.110212422,0.533493566
2009,4,Philadelphia Flyers (PHI),5.473380558,5.183729606,1.490319641,11.320684376,4.784844495,2.480980282,3.775265763,0.882579950
2014,22,Edmonton Oilers (EDM),6.612050501,5.024325066,1.709867048,5.889583357,7.782290113,4.298871429,3.092976311,0.493803974
2017,1,New Jersey Devils (NJD),5.092068997,5.921359641,1.424488212,6.180277772,9.852241708,5.421792447,2.372586493,0.619139187
2017,12,Carolina Hurricanes (CAR),5.124502543,3.703128123,1.507874070,2.981963324,6.668859289,5.418292603,6.352786376,0.510417786
2018,24,Anaheim Ducks (ANA),7.915927284,6.481842771,1.164964745,4.531372125,7.198214064,3.772709018,4.781412423,0.601585208
2015,19,St Louis Blues (STL),6.562202374,4.455333882,1.258305739,4.937948292,11.445341119,5.479887468,2.390955179,0.619139187
2017,10,Toronto Maple Leafs (TOR),5.755432217,4.039328715,1.393261092,6.865300645,6.853509191,4.553602323,4.677071733,0.562295715
2013,19,St Louis Blues (STL),5.915439480,5.594234045,1.930614598,10.823655351,12.332207156,8.084309532,2.108783938,0
2003,25,Dallas Stars (DAL),7.191430085,5.075677295,1.436140662,7.907538597,5.075677295,11.032527664,5.938223640,0.873212460
2010,23,Vancouver Canucks (VAN),7.335372677,4.771711514,1.601281538,4.901595763,6.804975555,3.826359319,3.254188622,0.660225292
2018,7,Buffalo Sabres (BUF),6.326404335,3.165974070,1.600438536,3.390733847,7.595782148,4.833484571,4.576190607,0.418853908
2013,14,Tampa Bay Lightning (TBL),6.407027392,4.470272177,1.264911064,7.814249804,8.838363348,4.400284082,2.762094616,0.619139187
2015,26,Los Angeles Kings (LAK),3.946761087,2.810237694,2.063106943,8.056690165,5.576967285,2.501281723,4.278748919,0.776250026
2013,22,Edmonton Oilers (EDM),6.644705893,5.814140762,1.640670272,5.664798945,7.744600440,5.159236849,3.201148934,0.637247720
2015,28,San Jose Sharks (SJS),4.961617383,5.113419484,1.764760348,5.968599753,7.477416981,2.981423970,2.287362268,0.704792186
2003,12,Carolina Hurricanes (CAR),4.479583314,4.972842916,2.362907813,9.666954019,7.607014307,5.955389716,3.453862572,0.704154339
2003,5,Pittsburgh Penguins (PIT),6.724975572,2.926639266,1.975141962,14.892500168,5.844493371,6.673053594,3.984158354,0.634950435
2009,25,Dallas Stars (DAL),4.818120558,5.485320828,1.608957609,6.438688528,6.692536387,3.927095354,3.689226153,0.833549755
2017,30,Minnesota Wild (MIN),7.444924485,4.400292388,1.593113836,3.194476227,5.487892042,5.759812375,4.688545205,0.418853908
2013,15,Washington Capitals (WSH),6.460202050,4.886878242,1.729009452,6.351750691,6.536536988,2.807414994,2.978431237,0.615587011
2009,18,Nashville Predators (NSH),5.829690739,3.908888815,1.144038255,4.164803505,3.991719370,2.764001788,3.792407275,0.696630546
2008,6,Boston Bruins (BOS),5.035981643,6.633249581,1.691481928,7.245688373,8.298259523,4.876246279,5.172040216,0.333333333
2003,10,Toronto Maple Leafs (TOR),5.473166867,3.627058802,1.475729575,7.828722047,7.539525479,5.606543796,5.959119995,0.994428926
2016,14,Tampa Bay Lightning (TBL),6.140175436,4.256402127,1.812884361,5.043089186,5.516588487,3.639452436,2.745543971,0.512989176
2008,5,Pittsburgh Penguins (PIT),7.844068572,4.844308027,1.924217862,9.724472195,8.052929480,5.742002110,3.788527574,0.704792186
2006,22,Edmonton Oilers (EDM),6.601435251,5.295369267,2.368161129,9.136393392,6.428190836,6.962724479,5.101885903,0.713282504
2010,2,NY Islanders Islanders (NYI),7.542545989,5.344155686,1.779513042,8.789197916,5.685361320,4.062019202,3.6,0.757187779
2011,27,Phoenix Coyotes (PHX),7.635615992,4.032434292,1.735086832,5.642647755,6.474850130,6.563655913,2.772040859,0.680557047
2018,15,Washington Capitals (WSH),6.438636809,4.185269826,1.617215080,5.503245796,7.415828038,4.221868760,4.117104498,0.267261242
