Season,team_id,Team,Total Wins,Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2017,3,NY Rangers Rangers (NYR),20,31.473684211,15.184210526,3.105263158,0.605263158,3.236842105,8.052631579,20.157894737,14.447368421,10.105263158,2,
2011,8,Montreal Canadiens (MTL),14,29.552631579,16.394736842,2.526315789,0.526315789,4.026315789,9.973684211,20.131578947,9.394736842,5.842105263,1.894736842,
2003,17,Detroit Red Wings (DET),22,29.487179487,11.025641026,3.230769231,0.846153846,4.051282051,13.692307692,14.512820513,10.615384615,7.846153846,2.641025641,1
2005,6,Boston Bruins (BOS),14,30.526315789,12.947368421,2.921052632,0.921052632,5.631578947,14.947368421,15.210526316,6.526315789,5.368421053,2.236842105,
2009,29,Columbus Blue Jackets (CBJ),15,30.439024390,12.658536585,2.609756098,0.804878049,3.804878049,14,22.829268293,5.195121951,5.170731707,2.365853659,
2006,27,Phoenix Coyotes (PHX),15,29.513513514,12.324324324,2.594594595,0.675675676,5.027027027,19.216216216,17.864864865,8.621621622,5.081081081,2.162162162,
2006,1,New Jersey Devils (NJD),22,27.5,12.789473684,2.552631579,0.973684211,5,11.684210526,15.526315789,9.631578947,8.473684211,1.947368421,7
2005,3,NY Rangers Rangers (NYR),22,30.589743590,14.179487179,3.025641026,1,5.846153846,14.692307692,12.948717949,10.615384615,7.769230769,2.589743590,10
2003,12,Carolina Hurricanes (CAR),12,30.555555556,12.222222222,1.833333333,0.5,4.583333333,13.5,14.972222222,7.083333333,6,2.75,
2016,4,Philadelphia Flyers (PHI),20,30.710526316,15.684210526,2.868421053,0.763157895,3.5,10.657894737,25.236842105,9.026315789,4.947368421,2.815789474,
2013,17,Detroit Red Wings (DET),18,29.853658537,12.365853659,2.585365854,0.634146341,3.292682927,8.878048780,19.682926829,8.341463415,7.463414634,2.512195122,15
2016,3,NY Rangers Rangers (NYR),25,29,16.236842105,3.342105263,0.684210526,3.052631579,6.763157895,21.052631579,11.131578947,8.131578947,2.342105263,9
2006,5,Pittsburgh Penguins (PIT),16,29.054054054,14.405405405,3.108108108,1.054054054,6.216216216,17.459459459,16.432432432,7.594594595,5.189189189,2.378378378,10
2010,13,Florida Panthers (FLA),16,31.457142857,14.428571429,2.657142857,0.314285714,3.514285714,8.314285714,19.171428571,6.057142857,6.028571429,1.914285714,
2016,30,Minnesota Wild (MIN),23,29.611111111,15.166666667,3.111111111,0.5,2.777777778,9.194444444,16.611111111,6.138888889,6.972222222,2.027777778,5
2009,1,New Jersey Devils (NJD),28,29.842105263,11.289473684,2.815789474,0.789473684,3.710526316,9.552631579,19.368421053,7.526315789,5.342105263,2.789473684,6
2015,26,Los Angeles Kings (LAK),23,32.444444444,11.833333333,2.666666667,0.555555556,2.916666667,10.611111111,29.388888889,8.722222222,4.25,2.111111111,8
2009,18,Nashville Predators (NSH),23,29.825,12.175,2.8,0.575,3.75,9.625,17.275,9.55,8.425,1.95,10
2017,12,Carolina Hurricanes (CAR),18,34.5,13,2.710526316,0.5,3.236842105,6.131578947,19.315789474,9.868421053,10.473684211,2.342105263,
2014,3,NY Rangers Rangers (NYR),20,29.828571429,14.057142857,3,0.571428571,3.114285714,9.228571429,22.942857143,9.4,8.714285714,2.057142857,1
2014,19,St Louis Blues (STL),22,30.972972973,14.378378378,2.837837838,0.810810811,3.405405405,10.891891892,19.972972973,5.216216216,6.054054054,2.648648649,4
2008,8,Montreal Canadiens (MTL),21,29.972222222,16.944444444,2.861111111,0.666666667,4.722222222,14.083333333,26.194444444,11.555555556,8.777777778,2.638888889,13
2013,4,Philadelphia Flyers (PHI),19,29.974358974,13.512820513,2.512820513,0.692307692,3.820512821,16.871794872,25.974358974,7.333333333,6.128205128,2.974358974,13
2015,18,Nashville Predators (NSH),18,31.162162162,14.945945946,2.648648649,0.702702703,3.324324324,11.027027027,22.675675676,7.594594595,5.297297297,2.810810811,14
2017,22,Edmonton Oilers (EDM),17,34.657894737,15.473684211,3,0.473684211,2.736842105,10.078947368,27.131578947,12.210526316,8.105263158,2.868421053,
2015,17,Detroit Red Wings (DET),18,28.973684211,10.868421053,2.5,0.578947368,3.263157895,8.5,20.921052632,7.368421053,4.763157895,2.894736842,15
2014,53,Arizona Coyotes (ARI),14,28.666666667,15.888888889,2.305555556,0.638888889,3.194444444,10.055555556,29,6.722222222,6.277777778,2.694444444,
2018,2,NY Islanders Islanders (NYI),21,28.315789474,15.394736842,2.947368421,0.473684211,3,9.342105263,24.815789474,10.552631579,6.815789474,2.842105263,5
2011,17,Detroit Red Wings (DET),23,33.243243243,12.513513514,3.216216216,0.783783784,3.918918919,8.783783784,19.513513514,6.567567568,6.270270270,2.432432432,8
2008,23,Vancouver Canucks (VAN),20,27.815789474,13.131578947,2.868421053,0.815789474,4.631578947,19.684210526,16.921052632,7.394736842,7.421052632,2.815789474,7
2003,6,Boston Bruins (BOS),14,29.868421053,10.789473684,2.394736842,0.578947368,3.710526316,14.710526316,13.842105263,9.552631579,7.842105263,1.605263158,4
2014,23,Vancouver Canucks (VAN),21,30.714285714,15.228571429,2.885714286,0.6,3.114285714,10.542857143,19.371428571,8.085714286,6.171428571,2.428571429,8
2008,3,NY Rangers Rangers (NYR),23,32.461538462,10.820512821,2.538461538,0.641025641,4.512820513,13.692307692,27.692307692,6.692307692,7.410256410,2.769230769,12
2008,19,St Louis Blues (STL),14,27.459459459,13.216216216,2.756756757,0.945945946,4.405405405,16.513513514,20.108108108,6.783783784,5.621621622,2,14
2003,10,Toronto Maple Leafs (TOR),21,26.078947368,11.684210526,2.894736842,0.868421053,4.842105263,18.052631579,19.421052632,10.973684211,5.368421053,2.947368421,5
2003,20,Calgary Flames (CGY),19,28.142857143,11.457142857,2.342857143,0.628571429,4.428571429,17.571428571,16.885714286,9.685714286,5.771428571,2.771428571,12
2003,3,NY Rangers Rangers (NYR),15,29.444444444,11.972222222,2.75,0.555555556,3.833333333,19.888888889,17.611111111,9.944444444,6.305555556,2.527777778,
2017,2,NY Islanders Islanders (NYI),20,31.368421053,15.026315789,3.5,0.736842105,3.394736842,7.526315789,21.263157895,11.605263158,6.210526316,2.921052632,
2011,15,Washington Capitals (WSH),19,29.055555556,13.75,2.944444444,0.611111111,3.527777778,9.944444444,21.916666667,8.25,7.5,2.694444444,15
2011,13,Florida Panthers (FLA),19,30.368421053,12.263157895,2.578947368,0.763157895,4,11.026315789,20.184210526,7.210526316,7.631578947,2.105263158,14
2018,5,Pittsburgh Penguins (PIT),21,32.717948718,14.923076923,3.384615385,0.743589744,2.794871795,7.358974359,29.358974359,9.333333333,8.641025641,2.564102564,9
2011,25,Dallas Stars (DAL),20,28.75,15.638888889,2.611111111,0.472222222,3.305555556,14.166666667,27.583333333,7.472222222,7.138888889,2.777777778,
2010,28,San Jose Sharks (SJS),20,33.526315789,12.763157895,2.947368421,1,4.263157895,12.631578947,20.973684211,9.394736842,7.710526316,2.315789474,5
2015,19,St Louis Blues (STL),23,30,13.948717949,2.487179487,0.564102564,2.769230769,9.846153846,23.871794872,6.128205128,5.717948718,2.794871795,3
2010,19,St Louis Blues (STL),19,30.277777778,12.166666667,2.555555556,0.583333333,3.805555556,16.444444444,23.666666667,5,5.333333333,1.944444444,
2017,1,New Jersey Devils (NJD),22,30.578947368,15.105263158,3.105263158,0.631578947,3,9.447368421,21.526315789,7.736842105,8.578947368,2.973684211,15
2011,4,Philadelphia Flyers (PHI),22,31.472222222,15.5,3.416666667,0.888888889,4.611111111,16.611111111,21.361111111,7.555555556,6.055555556,2.666666667,6
2009,26,Los Angeles Kings (LAK),22,28.9,12.45,2.8,0.725,3.775,12.6,24.95,8.7,5.2,2.3,9
2006,20,Calgary Flames (CGY),18,28.166666667,12.25,2.972222222,0.861111111,5.361111111,15.138888889,16.722222222,10.833333333,6.388888889,1.833333333,13
2005,7,Buffalo Sabres (BUF),26,30.615384615,14.846153846,3.256410256,1.307692308,5.871794872,13.435897436,11.538461538,9.564102564,5.358974359,2.692307692,5
2016,13,Florida Panthers (FLA),15,32,11,2.324324324,0.513513514,3.459459459,8.567567568,21.054054054,9.351351351,8.513513514,2.756756757,
2013,25,Dallas Stars (DAL),19,31.842105263,15.131578947,2.868421053,0.421052632,3.605263158,11.315789474,20.921052632,9.947368421,6.868421053,2.736842105,16
2018,52,Winnipeg Jets (WPG),24,32.526315789,14.026315789,3.394736842,0.894736842,3.131578947,9.947368421,19.894736842,9.342105263,7.473684211,2.526315789,10
2009,23,Vancouver Canucks (VAN),23,30.5,12.125,3.075,0.925,4.175,15.05,16.725,6.925,7.425,2.5,5
2003,29,Columbus Blue Jackets (CBJ),9,27.666666667,11.722222222,2.055555556,0.722222222,5.138888889,14.972222222,14.5,6.888888889,5.805555556,2.277777778,
