Season,team_id,Team,Total Wins
2017,3,NY Rangers Rangers (NYR),20
2011,8,Montreal Canadiens (MTL),14
2003,17,Detroit Red Wings (DET),22
2009,29,Columbus Blue Jackets (CBJ),15
2005,6,Boston Bruins (BOS),14
2006,27,Phoenix Coyotes (PHX),15
2006,1,New Jersey Devils (NJD),22
2005,3,NY Rangers Rangers (NYR),22
2016,4,Philadelphia Flyers (PHI),20
2003,12,Carolina Hurricanes (CAR),12
2013,17,Detroit Red Wings (DET),18
2016,3,NY Rangers Rangers (NYR),25
2006,5,Pittsburgh Penguins (PIT),16
2010,13,Florida Panthers (FLA),16
2009,1,New Jersey Devils (NJD),28
2016,30,Minnesota Wild (MIN),23
2015,26,Los Angeles Kings (LAK),23
2009,18,Nashville Predators (NSH),23
2017,12,Carolina Hurricanes (CAR),18
2014,3,NY Rangers Rangers (NYR),20
2014,19,St Louis Blues (STL),22
2008,8,Montreal Canadiens (MTL),21
2013,4,Philadelphia Flyers (PHI),19
2015,18,Nashville Predators (NSH),18
2017,22,Edmonton Oilers (EDM),17
2015,17,Detroit Red Wings (DET),18
2014,53,Arizona Coyotes (ARI),14
2018,2,NY Islanders Islanders (NYI),21
2011,17,Detroit Red Wings (DET),23
2008,23,Vancouver Canucks (VAN),20
2003,6,Boston Bruins (BOS),14
2014,23,Vancouver Canucks (VAN),21
2008,3,NY Rangers Rangers (NYR),23
2008,19,St Louis Blues (STL),14
2003,10,Toronto Maple Leafs (TOR),21
2003,20,Calgary Flames (CGY),19
2003,3,NY Rangers Rangers (NYR),15
2017,2,NY Islanders Islanders (NYI),20
2011,15,Washington Capitals (WSH),19
2018,5,Pittsburgh Penguins (PIT),21
2011,13,Florida Panthers (FLA),19
2011,25,Dallas Stars (DAL),20
2010,28,San Jose Sharks (SJS),20
2015,19,St Louis Blues (STL),23
2010,19,St Louis Blues (STL),19
2017,1,New Jersey Devils (NJD),22
2011,4,Philadelphia Flyers (PHI),22
2009,26,Los Angeles Kings (LAK),22
2006,20,Calgary Flames (CGY),18
2005,7,Buffalo Sabres (BUF),26
2016,13,Florida Panthers (FLA),15
2013,25,Dallas Stars (DAL),19
2018,52,Winnipeg Jets (WPG),24
2009,23,Vancouver Canucks (VAN),23
2003,29,Columbus Blue Jackets (CBJ),9
2010,1,New Jersey Devils (NJD),10
2005,5,Pittsburgh Penguins (PIT),10
2014,17,Detroit Red Wings (DET),19
2011,23,Vancouver Canucks (VAN),24
2009,16,Chicago Blackhawks (CHI),26
2008,20,Calgary Flames (CGY),21
2017,23,Vancouver Canucks (VAN),16
2013,8,Montreal Canadiens (MTL),23
2011,22,Edmonton Oilers (EDM),15
2009,11,Atlanta Thrashers (ATL),18
2005,12,Carolina Hurricanes (CAR),23
2016,17,Detroit Red Wings (DET),16
2013,1,New Jersey Devils (NJD),17
2018,6,Boston Bruins (BOS),21
2014,5,Pittsburgh Penguins (PIT),22
2017,7,Buffalo Sabres (BUF),10
