Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2006,16,Chicago Blackhawks (CHI),29.027027027,10.243243243,5.702702703,13.027027027,13.270270270,7.621621622,4.243243243,2.108108108
2014,2,NY Islanders Islanders (NYI),27.594594595,14.945945946,2.918918919,10.594594595,23.972972973,8.351351351,8.378378378,2.648648649
2006,26,Los Angeles Kings (LAK),28.925,15.1,5.25,16.575,18.375,11.5,5.6,2.4
2016,23,Vancouver Canucks (VAN),30.513513514,13.216216216,2.756756757,9.972972973,20.810810811,8,5.270270270,2.621621622
2009,19,St Louis Blues (STL),30.230769231,13.256410256,4.102564103,13.948717949,20.948717949,7.179487179,6.230769231,2.025641026
2011,17,Detroit Red Wings (DET),27.351351351,13.648648649,3.756756757,10.486486486,23.783783784,7.486486486,7.054054054,2.621621622
2010,25,Dallas Stars (DAL),31.526315789,12.894736842,3.868421053,14.578947368,28.447368421,8.552631579,6.368421053,2.421052632
2011,19,St Louis Blues (STL),26.378378378,14.702702703,3.324324324,10.972972973,20.378378378,6.378378378,5.405405405,2.432432432
2005,25,Dallas Stars (DAL),25.222222222,12.583333333,6.361111111,19.583333333,18,11.472222222,7.055555556,2.472222222
2008,11,Atlanta Thrashers (ATL),32.837837838,11.756756757,4.216216216,14.297297297,13.945945946,6.810810811,7.378378378,2.243243243
2017,13,Florida Panthers (FLA),35.368421053,12.815789474,3.210526316,10.368421053,18.026315789,10.763157895,8.605263158,2.815789474
2010,22,Edmonton Oilers (EDM),33.861111111,13.472222222,3.666666667,13.861111111,20,11.472222222,9.833333333,2.416666667
2018,54,Vegas Golden Knights (VGK),28.666666667,17.333333333,2.976190476,7.809523810,25.571428571,10,8.976190476,2.738095238
2009,28,San Jose Sharks (SJS),31.225,14.15,4,13.575,23.6,8.3,7.375,2.475
2014,3,NY Rangers Rangers (NYR),28.028571429,13.657142857,3.2,8.228571429,23.257142857,9.257142857,5.914285714,2.457142857
