Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Injured Players,Giveaways,Takeaways
2017,3,NY Rangers Rangers (NYR),5.958127958,4.746863904,1.549790056,4.429308825,6.394788063,0.569494797,5.320523081,4.836737082
2011,8,Montreal Canadiens (MTL),5.702997640,4.879850871,1.635531852,6.788252341,5.978208412,0.648885685,4.103653439,3.491505644
2003,17,Detroit Red Wings (DET),7.326490489,4.521802036,2.025478734,19.072098450,5.533970664,0.873202801,6.651534784,4.331879752
2009,29,Columbus Blue Jackets (CBJ),5.210800229,4.464357491,1.819608642,7.300684899,8.024657124,0.581209840,3.051389128,3.434402707
2005,6,Boston Bruins (BOS),7.417061566,4.781424465,2.454131130,6.730115329,5.766435476,0.675206096,4.260039602,3.715715730
2006,27,Phoenix Coyotes (PHX),6.470538453,4.576838150,2.254458379,12.387572480,6.754266808,0.726999676,4.962925612,2.722114970
2006,1,New Jersey Devils (NJD),6.395733375,5.292309028,1.559625735,6.472834139,6.297733793,0.324442842,5.581925719,4.734786973
2005,3,NY Rangers Rangers (NYR),6.544254003,4.865949331,1.799685083,5.242306875,4.667630515,0.715171997,5.097034146,5.343276831
2016,4,Philadelphia Flyers (PHI),7.009290725,4.736889521,1.766811145,9.436204905,6.929896885,0.392859452,3.830791620,2.958701034
2003,12,Carolina Hurricanes (CAR),6.054252080,4.349785618,1.794833856,9.281317640,6.367264993,0.439155033,3.849860851,3.329521630
2013,17,Detroit Red Wings (DET),6.039706018,4.564844453,1.792259781,4.545300441,5.560750958,0.711405342,3.732356870,3.377110903
2016,3,NY Rangers Rangers (NYR),5.427656903,5.654150403,1.739017561,3.620020983,7.522748809,0.480782908,5.705242031,3.778824732
2006,5,Pittsburgh Penguins (PIT),7.210894327,5.008101545,2.657642388,9.739936672,5.530423635,0.758337046,4.663448054,3.107677213
2010,13,Florida Panthers (FLA),7.879022249,4.803710051,1.401080016,4.587524185,6.280154149,0.781078763,3.152430035,3.285312361
2009,1,New Jersey Devils (NJD),5.596940843,4.876351620,1.540584212,5.559007147,8.082082461,0.413154950,4.494662553,3.566179846
2016,30,Minnesota Wild (MIN),7.035736443,4.849153092,1.045018417,5.625551119,6.397668226,0.736249613,3.958013772,2.980758399
2015,26,Los Angeles Kings (LAK),6.660949930,3.931557307,1.518928194,8.212456663,8.177592303,0.522509209,4.469650744,2.771023534
2009,18,Nashville Predators (NSH),7.996433500,3.781788344,1.613246448,5.386057499,5.710931937,0.638507876,5.038060270,4.050245323
2017,12,Carolina Hurricanes (CAR),7.384241804,4.661515819,1.383966304,4.325731012,8.074334591,0.480782908,4.899923070,5.778510245
2014,3,NY Rangers Rangers (NYR),6.350014888,4.438752190,1.604615192,5.811174399,7.145310503,0.639064442,5.259165669,4.134300059
2014,19,St Louis Blues (STL),5.624778941,3.691968395,1.690816033,6.492661600,5.139641614,0.538321270,3.154671449,3.170576060
2008,8,Montreal Canadiens (MTL),6.570436433,4.647238470,2.105925126,6.966757803,7.895095926,0.592947975,5.798740969,5.503822625
