Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2006,16,Chicago Blackhawks (CHI),6.986043573,4.367845931,2.106403792,5.112547128,4.154305990,8.159355065,3.049639372,0.906267798
2014,2,NY Islanders Islanders (NYI),6.206893388,4.471800196,1.479083394,6.521159830,6.730884400,4.144716960,3.600550508,0.587660910
2006,26,Los Angeles Kings (LAK),6.086502511,4.265544724,2.295480509,11.324779955,5.475762445,4.706787243,3.528637421,0.810191494
2016,23,Vancouver Canucks (VAN),6.466244065,5.513292700,1.233905394,12.072665375,7.218178586,4.818944098,2.231699012,0.828363559
2009,19,St Louis Blues (STL),6.907134140,4.886705643,1.618883172,11.514175972,7.214563918,5.072484053,3.398618438,0.810691047
2011,17,Detroit Red Wings (DET),5.568842969,4.791289644,1.738540343,6.635852209,6.464153872,4.324488548,3.851016792,0.545249757
2010,25,Dallas Stars (DAL),7.329086231,4.379247582,1.905483589,10.154566484,7.243626718,3.277254688,3.035119238,0.889323428
2011,19,St Louis Blues (STL),5.760745280,4.514574330,1.564431989,5.123402117,7.790133900,4.917945322,3.515516869,0.728031613
2005,25,Dallas Stars (DAL),6.693754493,5.728998915,2.058470691,9.946643368,7.812078560,7.185247231,3.756475890,0.774084200
2008,11,Atlanta Thrashers (ATL),6.521390076,3.546558625,1.250225205,9.904726327,7.965013587,4.599745391,3.904067333,0.796011076
2017,13,Florida Panthers (FLA),7.156252426,3.944584129,1.562359524,6.006397727,6.610748177,3.872524217,4.258787251,0.456500387
2010,22,Edmonton Oilers (EDM),6.620974368,4.468851633,1.511857892,12.714789539,5.461553939,4.576249938,4.232527107,0.603560862
2018,54,Vegas Golden Knights (VGK),6.091444086,5.413022539,1.505892414,7.095990263,8.064202309,6.152532693,4.692953177,0.543678699
2009,28,San Jose Sharks (SJS),6.014885382,4.891384367,1.648620247,7.695778063,9.325454550,3.864367132,3.513253295,0.598609500
2014,3,NY Rangers Rangers (NYR),5.511942725,4.445373386,1.389032672,3.993271652,7.309714958,4.367950503,3.641035959,0.560611911
