team_id,team,game_id,type,season,date_time_GMT,HoA,won,goals,shots,hits,pim,powerPlayOpportunities,injured_player_count,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked
2,NY Islanders Islanders (NYI),2006020264,R,2006,November,away,True,3,22,24,14,6,1,1,,15,10,18
6,Boston Bruins (BOS),2018020489,R,2018,December,away,False,3,51,35,2,2,3,0,60.6,3,6,7
6,Boston Bruins (BOS),2005020335,R,2005,November,home,False,3,28,13,12,4,3,0,,2,4,7
30,Minnesota Wild (MIN),2002020229,R,2002,November,home,False,2,23,2,21,9,,1,,0,0,0
25,Dallas Stars (DAL),2018020460,R,2018,December,away,False,2,24,31,10,4,2,2,50,7,7,20
14,Tampa Bay Lightning (TBL),2016020443,R,2016,December,away,True,6,35,10,15,5,3,1,57.7,3,1,17
20,Calgary Flames (CGY),2009020581,R,2009,December,away,True,4,23,26,30,5,2,1,,16,4,11
28,San Jose Sharks (SJS),2000020125,R,2000,October,away,True,3,22,,27,5,,0,,,,
10,Toronto Maple Leafs (TOR),2002020157,R,2002,November,home,False,2,32,1,35,6,,2,,0,0,0
7,Buffalo Sabres (BUF),2011020276,R,2011,November,home,False,2,45,13,9,1,2,0,53.7,12,9,18
29,Columbus Blue Jackets (CBJ),2017020503,R,2017,December,away,False,1,36,15,4,4,2,0,53.4,7,14,6
21,Colorado Avalanche (COL),2015020355,R,2015,December,away,False,3,28,51,6,3,2,0,37,14,6,16
21,Colorado Avalanche (COL),2017020048,R,2017,October,home,True,6,37,15,18,5,3,1,48.6,7,12,17
18,Nashville Predators (NSH),2015020537,R,2015,December,home,True,5,35,16,2,2,3,2,61,14,8,10
25,Dallas Stars (DAL),2006020394,R,2006,December,home,True,1,13,39,8,2,3,1,,9,14,13
52,Winnipeg Jets (WPG),2011020066,R,2011,October,home,True,2,34,21,18,4,3,0,50,4,5,11
14,Tampa Bay Lightning (TBL),2001020557,R,2001,December,home,False,2,32,,4,4,,0,,,,
8,Montreal Canadiens (MTL),2000020343,R,2000,November,home,True,3,28,,13,4,,0,,,,
4,Philadelphia Flyers (PHI),2008020367,R,2008,December,home,False,2,31,18,20,5,2,2,,23,8,17
30,Minnesota Wild (MIN),2013020082,R,2013,October,away,False,1,37,23,8,5,3,1,61.8,10,10,11
11,Atlanta Thrashers (ATL),2008020347,R,2008,November,home,False,2,30,9,13,2,2,0,,6,3,19
17,Detroit Red Wings (DET),2006020415,R,2006,December,home,True,4,43,16,10,10,2,2,,23,15,6
28,San Jose Sharks (SJS),2013020410,R,2013,December,away,True,4,41,19,11,4,3,1,47.8,7,9,9
17,Detroit Red Wings (DET),2018020335,R,2018,November,away,False,1,32,12,6,3,2,0,42.4,5,9,14
23,Vancouver Canucks (VAN),2009020147,R,2009,October,home,True,2,29,13,17,4,3,1,,5,10,9
9,Ottawa Senators (OTT),2005020185,R,2005,November,away,True,10,36,9,26,4,1,2,,12,3,9
28,San Jose Sharks (SJS),2006020486,R,2006,December,home,True,4,29,20,21,6,3,2,,11,5,9
7,Buffalo Sabres (BUF),2002020137,R,2002,October,away,False,1,31,3,22,7,,0,,0,0,0
26,Los Angeles Kings (LAK),2007020278,R,2007,November,home,False,0,28,18,6,5,,0,,19,8,13
26,Los Angeles Kings (LAK),2016020128,R,2016,October,away,False,0,32,37,14,2,2,0,49.1,4,4,16
24,Anaheim Ducks (ANA),2005020034,R,2005,October,away,False,2,35,19,10,5,3,0,,5,6,6
8,Montreal Canadiens (MTL),2010020311,R,2010,November,home,True,4,33,20,8,3,3,1,42.1,10,8,20
23,Vancouver Canucks (VAN),2002020045,R,2002,October,home,False,3,26,2,10,3,,1,,0,0,0
12,Carolina Hurricanes (CAR),2000020048,R,2000,October,away,False,2,24,,15,2,,0,,,,
1,New Jersey Devils (NJD),2011020026,R,2011,October,home,True,4,26,12,14,5,3,1,50,3,5,10
26,Los Angeles Kings (LAK),2002020484,R,2002,December,home,True,5,36,8,22,7,,1,,0,0,0
21,Colorado Avalanche (COL),2005020150,R,2005,October,home,True,6,30,11,28,8,3,3,,9,17,14
24,Anaheim Ducks (ANA),2003020399,R,2003,December,home,True,4,37,7,33,5,3,2,,12,17,6
22,Edmonton Oilers (EDM),2014020294,R,2014,November,home,False,0,29,18,4,4,3,0,46.6,19,5,6
3,NY Rangers Rangers (NYR),2000020209,R,2000,November,home,True,4,41,,14,5,,2,,,,
14,Tampa Bay Lightning (TBL),2016020116,R,2016,October,away,False,1,33,24,7,4,2,0,45.8,3,8,2
53,Arizona Coyotes (ARI),2017020280,R,2017,November,away,True,5,32,19,22,5,3,2,55.4,7,3,20
23,Vancouver Canucks (VAN),2011020517,R,2011,December,home,False,1,30,30,7,2,1,0,51.9,4,6,10
26,Los Angeles Kings (LAK),2007020095,R,2007,October,away,False,3,34,4,17,8,,2,,9,6,15
26,Los Angeles Kings (LAK),2003020211,R,2003,November,away,True,3,30,9,4,3,2,0,,10,8,14
23,Vancouver Canucks (VAN),2000020435,R,2000,December,home,False,1,18,,8,6,,0,,,,
4,Philadelphia Flyers (PHI),2016020144,R,2016,November,home,True,4,40,22,9,1,2,0,44,8,1,19
29,Columbus Blue Jackets (CBJ),2009020144,R,2009,October,away,True,6,37,22,6,2,3,0,,7,2,9
16,Chicago Blackhawks (CHI),2001020039,R,2001,October,away,False,0,11,,27,8,,0,,,,
17,Detroit Red Wings (DET),2016020144,R,2016,November,away,False,3,25,16,9,1,2,0,56,10,8,15
16,Chicago Blackhawks (CHI),2013020061,R,2013,October,home,True,3,28,18,6,4,3,0,53.8,10,14,13
24,Anaheim Ducks (ANA),2008020442,R,2008,December,home,True,4,34,24,13,5,2,0,,11,7,5
14,Tampa Bay Lightning (TBL),2016020508,R,2016,December,away,False,0,23,11,4,3,3,0,47.5,8,5,9
18,Nashville Predators (NSH),2018020599,R,2018,December,away,True,6,34,14,2,3,3,1,58.6,11,17,22
3,NY Rangers Rangers (NYR),2002020287,R,2002,November,away,False,4,27,1,15,3,,0,,0,0,0
19,St Louis Blues (STL),2002020314,R,2002,November,home,False,1,33,6,76,7,,1,,0,0,0
11,Atlanta Thrashers (ATL),2003020467,R,2003,December,home,False,0,15,17,15,3,3,0,,8,7,26
7,Buffalo Sabres (BUF),2000020328,R,2000,November,away,True,5,19,,38,2,,0,,,,
9,Ottawa Senators (OTT),2015020246,R,2015,November,home,False,1,23,27,11,3,2,1,54.7,10,7,15
10,Toronto Maple Leafs (TOR),2014020066,R,2014,October,away,False,0,30,28,12,5,3,0,40.3,4,5,6
17,Detroit Red Wings (DET),2005020017,R,2005,October,away,True,4,27,16,24,7,3,2,,8,4,12
8,Montreal Canadiens (MTL),2000020135,R,2000,October,away,False,1,38,,2,6,,0,,,,
9,Ottawa Senators (OTT),2008020497,R,2008,December,away,False,4,21,18,4,2,2,1,,14,7,14
4,Philadelphia Flyers (PHI),2011020165,R,2011,November,away,True,3,26,16,31,3,3,0,34.5,7,3,18
29,Columbus Blue Jackets (CBJ),2002020067,R,2002,October,home,True,4,22,2,19,4,,2,,0,0,0
5,Pittsburgh Penguins (PIT),2017020532,R,2017,December,home,True,2,41,33,26,5,2,2,43.2,9,7,10
19,St Louis Blues (STL),2003020155,R,2003,November,home,False,2,33,28,10,4,3,0,,13,3,11
20,Calgary Flames (CGY),2007020290,R,2007,November,away,False,1,30,16,8,4,,0,,8,7,11
30,Minnesota Wild (MIN),2013020342,R,2013,November,away,True,2,35,12,4,2,3,0,48.1,10,2,11
3,NY Rangers Rangers (NYR),2007020092,R,2007,October,away,False,3,36,17,31,8,,3,,4,6,9
29,Columbus Blue Jackets (CBJ),2009020578,R,2009,December,home,True,1,40,39,20,3,3,0,,3,4,19
1,New Jersey Devils (NJD),2007020257,R,2007,November,home,False,2,24,19,10,5,,0,,10,8,5
26,Los Angeles Kings (LAK),2014020526,R,2014,December,home,True,3,29,36,4,4,3,2,46.3,17,4,12
17,Detroit Red Wings (DET),2008020167,R,2008,November,away,True,3,23,10,19,5,2,3,,4,10,14
27,Phoenix Coyotes (PHX),2007020033,R,2007,October,home,False,1,37,27,6,4,,0,,8,3,8
27,Phoenix Coyotes (PHX),2006020319,R,2006,November,home,True,3,27,18,12,2,2,0,,7,2,16
7,Buffalo Sabres (BUF),2011020085,R,2011,October,away,True,3,38,21,7,3,3,1,45.8,1,6,10
25,Dallas Stars (DAL),2017020207,R,2017,November,home,True,5,22,14,10,1,3,1,45.1,6,10,14
13,Florida Panthers (FLA),2007020128,R,2007,October,home,True,4,42,14,4,4,,1,,5,10,7
19,St Louis Blues (STL),2006020483,R,2006,December,away,False,2,35,12,16,6,3,1,,1,3,17
16,Chicago Blackhawks (CHI),2014020330,R,2014,November,away,True,3,45,16,4,6,2,2,61.5,7,8,12
1,New Jersey Devils (NJD),2013020016,R,2013,October,home,False,3,29,13,4,2,3,0,46.2,11,7,9
