Season,game_id,home_team_id,away_team_id,Home Win
2006,2006020788,9,10,0
2006,2006020773,12,14,0
2006,2006020582,20,22,1
2010,2010021173,23,22,0
2014,2014020791,6,8,0
2017,2017020880,2,3,1
2018,2018021196,28,16,0
2016,2016020796,17,29,0
2009,2009020749,14,10,1
2010,2010020707,26,27,0
2011,2011020875,16,19,1
2013,2013020703,19,27,1
2014,2014020989,53,18,0
2017,2017020807,12,28,0
2016,2016020824,15,24,1
2017,2017021076,20,22,1
2003,2003020786,19,1,0
2015,2015021109,21,4,0
2014,2014021167,12,4,1
2011,2011020848,13,9,0
2005,2005020964,25,23,1
2017,2017021212,12,3,0
2003,2003020666,18,27,1
2010,2010020856,1,12,1
2008,2008020920,16,5,0
2003,2003020669,28,23,1
2003,2003020754,27,20,0
2006,2006021075,22,19,0
2005,2005020979,7,10,1
2014,2014020693,52,29,1
2011,2011020839,29,19,1
2009,2009020997,21,13,1
2011,2011021125,21,23,0
2005,2005020602,16,23,0
2013,2013021052,16,12,1
2010,2010021065,28,30,1
2011,2011020852,4,7,1
2005,2005020639,29,5,1
2015,2015020780,9,10,1
2003,2003020869,3,9,0
2013,2013021199,13,10,1
2003,2003020819,18,14,0
2018,2018020618,25,1,1
2014,2014021204,4,12,0
2011,2011021163,29,13,1
2018,2018020994,3,8,0
2013,2013020929,18,5,0
2009,2009021077,17,5,1
2009,2009020634,18,20,0
2008,2008020639,20,19,1
2005,2005020748,21,25,0
2013,2013021032,17,10,1
2014,2014020980,12,22,1
2003,2003020595,19,30,0
2006,2006020790,1,7,1
2011,2011020987,15,12,0
2005,2005021006,1,9,0
2013,2013020705,30,9,0
2011,2011020633,3,9,0
2008,2008021040,1,16,1
2011,2011021067,30,12,0
2016,2016021117,5,4,0
2018,2018021100,17,2,1
2018,2018020918,4,14,0
2015,2015020704,15,24,0
2008,2008021221,8,5,0
2014,2014020975,29,21,0
2008,2008021169,12,5,1
2018,2018020828,8,52,1
2009,2009021167,10,6,0
2015,2015020850,29,6,0
2009,2009020830,8,23,1
2008,2008021024,8,1,0
2018,2018021205,9,10,1
2008,2008020846,26,11,0
2018,2018020688,2,3,0
