Season,team_id,Team,Total Wins,Total Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2017,3,NY Rangers Rangers (NYR),20,1196,577,118,23,123,306,766,549,384,76,
2011,8,Montreal Canadiens (MTL),14,1123,623,96,20,153,379,765,357,222,72,
2003,17,Detroit Red Wings (DET),22,1150,430,126,33,158,534,566,414,306,103,1
2009,29,Columbus Blue Jackets (CBJ),15,1248,519,107,33,156,574,936,213,212,97,
2005,6,Boston Bruins (BOS),14,1160,492,111,35,214,568,578,248,204,85,
2006,27,Phoenix Coyotes (PHX),15,1092,456,96,25,186,711,661,319,188,80,
2006,1,New Jersey Devils (NJD),22,1045,486,97,37,190,444,590,366,322,74,7
2005,3,NY Rangers Rangers (NYR),22,1193,553,118,39,228,573,505,414,303,101,10
2016,4,Philadelphia Flyers (PHI),20,1167,596,109,29,133,405,959,343,188,107,
2003,12,Carolina Hurricanes (CAR),12,1100,440,66,18,165,486,539,255,216,99,
2013,17,Detroit Red Wings (DET),18,1224,507,106,26,135,364,807,342,306,103,15
2016,3,NY Rangers Rangers (NYR),25,1102,617,127,26,116,257,800,423,309,89,9
2006,5,Pittsburgh Penguins (PIT),16,1075,533,115,39,230,646,608,281,192,88,10
2010,13,Florida Panthers (FLA),16,1101,505,93,11,123,291,671,212,211,67,
2009,1,New Jersey Devils (NJD),28,1134,429,107,30,141,363,736,286,203,106,6
2016,30,Minnesota Wild (MIN),23,1066,546,112,18,100,331,598,221,251,73,5
2015,26,Los Angeles Kings (LAK),23,1168,426,96,20,105,382,1058,314,153,76,8
2009,18,Nashville Predators (NSH),23,1193,487,112,23,150,385,691,382,337,78,10
2017,12,Carolina Hurricanes (CAR),18,1311,494,103,19,123,233,734,375,398,89,
2014,3,NY Rangers Rangers (NYR),20,1044,492,105,20,109,323,803,329,305,72,1
2014,19,St Louis Blues (STL),22,1146,532,105,30,126,403,739,193,224,98,4
2008,8,Montreal Canadiens (MTL),21,1079,610,103,24,170,507,943,416,316,95,13
2013,4,Philadelphia Flyers (PHI),19,1169,527,98,27,149,658,1013,286,239,116,13
2015,18,Nashville Predators (NSH),18,1153,553,98,26,123,408,839,281,196,104,14
2017,22,Edmonton Oilers (EDM),17,1317,588,114,18,104,383,1031,464,308,109,
2015,17,Detroit Red Wings (DET),18,1101,413,95,22,124,323,795,280,181,110,15
2014,53,Arizona Coyotes (ARI),14,1032,572,83,23,115,362,1044,242,226,97,
2018,2,NY Islanders Islanders (NYI),21,1076,585,112,18,114,355,943,401,259,108,5
2011,17,Detroit Red Wings (DET),23,1230,463,119,29,145,325,722,243,232,90,8
2008,23,Vancouver Canucks (VAN),20,1057,499,109,31,176,748,643,281,282,107,7
2003,6,Boston Bruins (BOS),14,1135,410,91,22,141,559,526,363,298,61,4
2014,23,Vancouver Canucks (VAN),21,1075,533,101,21,109,369,678,283,216,85,8
2008,3,NY Rangers Rangers (NYR),23,1266,422,99,25,176,534,1080,261,289,108,12
2008,19,St Louis Blues (STL),14,1016,489,102,35,163,611,744,251,208,74,14
2003,10,Toronto Maple Leafs (TOR),21,991,444,110,33,184,686,738,417,204,112,5
2003,20,Calgary Flames (CGY),19,985,401,82,22,155,615,591,339,202,97,12
2003,3,NY Rangers Rangers (NYR),15,1060,431,99,20,138,716,634,358,227,91,
2017,2,NY Islanders Islanders (NYI),20,1192,571,133,28,129,286,808,441,236,111,
2011,15,Washington Capitals (WSH),19,1046,495,106,22,127,358,789,297,270,97,15
2018,5,Pittsburgh Penguins (PIT),21,1276,582,132,29,109,287,1145,364,337,100,9
2011,13,Florida Panthers (FLA),19,1154,466,98,29,152,419,767,274,290,80,14
2011,25,Dallas Stars (DAL),20,1035,563,94,17,119,510,993,269,257,100,
2010,28,San Jose Sharks (SJS),20,1274,485,112,38,162,480,797,357,293,88,5
2015,19,St Louis Blues (STL),23,1170,544,97,22,108,384,931,239,223,109,3
2010,19,St Louis Blues (STL),19,1090,438,92,21,137,592,852,180,192,70,
2017,1,New Jersey Devils (NJD),22,1162,574,118,24,114,359,818,294,326,113,15
2011,4,Philadelphia Flyers (PHI),22,1133,558,123,32,166,598,769,272,218,96,6
2009,26,Los Angeles Kings (LAK),22,1156,498,112,29,151,504,998,348,208,92,9
2006,20,Calgary Flames (CGY),18,1014,441,107,31,193,545,602,390,230,66,13
2005,7,Buffalo Sabres (BUF),26,1194,579,127,51,229,524,450,373,209,105,5
2016,13,Florida Panthers (FLA),15,1184,407,86,19,128,317,779,346,315,102,
2013,25,Dallas Stars (DAL),19,1210,575,109,16,137,430,795,378,261,104,16
2018,52,Winnipeg Jets (WPG),24,1236,533,129,34,119,378,756,355,284,96,10
2009,23,Vancouver Canucks (VAN),23,1220,485,123,37,167,602,669,277,297,100,5
2003,29,Columbus Blue Jackets (CBJ),9,996,422,74,26,185,539,522,248,209,82,
2010,1,New Jersey Devils (NJD),10,1118,392,63,18,119,448,775,342,208,72,
2005,5,Pittsburgh Penguins (PIT),10,1065,559,103,39,237,647,477,294,156,102,
2014,17,Detroit Red Wings (DET),19,1138,415,104,34,140,311,718,288,181,112,12
2011,23,Vancouver Canucks (VAN),24,1216,451,127,36,145,531,850,257,239,92,1
2009,16,Chicago Blackhawks (CHI),26,1305,517,117,29,145,438,779,260,321,60,3
2008,20,Calgary Flames (CGY),21,1130,336,109,30,169,581,670,319,238,99,10
2017,23,Vancouver Canucks (VAN),16,1150,505,106,28,132,381,709,362,220,104,
2013,8,Montreal Canadiens (MTL),23,1139,756,96,28,137,458,794,302,213,94,9
2011,22,Edmonton Oilers (EDM),15,970,547,99,30,149,496,670,425,269,95,
2009,11,Atlanta Thrashers (ATL),18,1112,474,121,30,143,514,678,343,362,98,
2005,12,Carolina Hurricanes (CAR),23,1112,551,133,46,246,511,491,222,230,101,4
2016,17,Detroit Red Wings (DET),16,1040,458,84,15,125,374,720,270,200,86,
2013,1,New Jersey Devils (NJD),17,1040,417,97,21,118,320,815,282,227,116,
2018,6,Boston Bruins (BOS),21,1282,489,109,33,124,419,911,381,334,98,3
2014,5,Pittsburgh Penguins (PIT),22,1109,499,107,27,120,563,1057,249,189,88,15
2017,7,Buffalo Sabres (BUF),10,1174,536,84,14,113,298,896,276,211,108,
2014,2,NY Islanders Islanders (NYI),25,1220,575,111,26,137,355,1089,364,317,110,10
2015,13,Florida Panthers (FLA),21,1057,414,96,23,129,341,963,221,206,99,7
2018,53,Arizona Coyotes (ARI),17,1194,572,98,22,127,334,854,323,249,102,
2008,25,Dallas Stars (DAL),15,966,441,101,23,156,527,765,369,301,88,
2015,10,Toronto Maple Leafs (TOR),14,1115,481,91,21,107,285,975,259,298,105,
2003,8,Montreal Canadiens (MTL),17,1027,458,87,25,149,492,592,475,289,97,13
2016,9,Ottawa Senators (OTT),20,1042,625,90,19,115,410,948,370,248,76,12
2008,7,Buffalo Sabres (BUF),17,1136,477,102,33,168,523,651,386,187,104,
2009,5,Pittsburgh Penguins (PIT),26,1323,638,124,26,172,591,1133,326,207,83,8
2018,14,Tampa Bay Lightning (TBL),30,1315,544,163,40,134,346,939,328,282,117,1
2003,23,Vancouver Canucks (VAN),20,1097,379,107,27,185,521,626,396,269,98,7
2014,30,Minnesota Wild (MIN),17,1078,508,97,16,115,322,570,233,208,88,11
2006,10,Toronto Maple Leafs (TOR),17,1330,498,124,41,213,557,808,508,275,89,
2009,14,Tampa Bay Lightning (TBL),15,1145,513,99,29,165,671,862,319,248,101,
2009,9,Ottawa Senators (OTT),20,1211,580,109,22,142,572,962,362,343,79,13
2018,21,Colorado Avalanche (COL),19,1239,618,132,38,139,383,747,243,204,79,16
2005,11,Atlanta Thrashers (ATL),16,1230,498,132,55,271,703,654,405,341,82,
2010,29,Columbus Blue Jackets (CBJ),19,1107,531,93,18,141,555,959,162,243,102,
2011,28,San Jose Sharks (SJS),19,1176,559,95,22,121,357,591,381,272,86,12
2018,19,St Louis Blues (STL),15,1085,547,101,23,109,347,742,256,285,99,12
2015,24,Anaheim Ducks (ANA),14,1024,485,66,16,94,434,926,328,169,85,6
2008,9,Ottawa Senators (OTT),13,1027,519,82,27,149,509,871,355,301,71,
2014,10,Toronto Maple Leafs (TOR),20,1091,582,122,27,134,337,1193,340,390,78,
2018,15,Washington Capitals (WSH),24,1124,585,135,27,116,335,847,442,309,107,4
2008,21,Colorado Avalanche (COL),19,1040,581,95,27,157,493,622,356,318,86,
2018,28,San Jose Sharks (SJS),21,1405,533,135,27,119,324,712,380,349,118,6
2006,6,Boston Bruins (BOS),19,1046,486,108,38,189,550,562,259,216,71,
2009,19,St Louis Blues (STL),17,1143,493,98,23,144,575,800,274,240,91,
2017,20,Calgary Flames (CGY),18,1242,514,102,23,132,385,653,370,322,115,
2008,27,Phoenix Coyotes (PHX),17,1031,543,94,23,166,552,786,169,180,96,
2015,8,Montreal Canadiens (MTL),21,1226,509,109,25,129,344,806,416,252,113,
2017,5,Pittsburgh Penguins (PIT),19,1357,582,108,35,141,411,934,330,246,100,10
2003,30,Minnesota Wild (MIN),14,911,529,83,22,155,484,287,502,278,102,
2016,5,Pittsburgh Penguins (PIT),24,1282,589,127,29,129,343,904,318,239,106,2
2003,1,New Jersey Devils (NJD),19,1019,356,86,22,135,382,401,468,281,101,9
2018,12,Carolina Hurricanes (CAR),16,1412,482,93,19,132,281,1034,437,446,91,11
2017,8,Montreal Canadiens (MTL),16,1313,639,99,22,116,338,951,526,252,107,
2010,26,Los Angeles Kings (LAK),22,1081,490,109,26,144,500,929,381,221,101,12
2016,12,Carolina Hurricanes (CAR),16,1050,473,91,20,99,216,651,358,333,104,
2013,20,Calgary Flames (CGY),14,1043,709,92,18,124,425,861,389,271,109,
2009,15,Washington Capitals (WSH),24,1294,548,141,37,157,420,791,370,320,115,1
2017,16,Chicago Blackhawks (CHI),18,1283,509,109,22,145,311,701,344,288,109,
2011,26,Los Angeles Kings (LAK),18,1181,486,79,21,148,420,1012,411,189,119,13
2015,14,Tampa Bay Lightning (TBL),18,1070,474,96,26,135,343,751,277,201,90,12
2005,30,Minnesota Wild (MIN),18,1030,486,110,41,216,572,384,367,268,111,
2003,21,Colorado Avalanche (COL),17,1072,455,101,33,155,560,588,298,377,77,10
2009,6,Boston Bruins (BOS),20,1199,452,98,24,137,450,938,219,176,72,14
2006,14,Tampa Bay Lightning (TBL),18,1227,483,123,39,221,403,553,415,356,57,15
2005,25,Dallas Stars (DAL),24,1008,437,119,39,241,696,710,476,266,61,3
2005,19,St Louis Blues (STL),9,1046,495,95,38,254,689,523,421,143,93,
2010,17,Detroit Red Wings (DET),24,1231,411,128,36,152,364,848,339,259,95,6
2014,16,Chicago Blackhawks (CHI),25,1308,458,112,26,139,293,572,299,289,98,7
2014,12,Carolina Hurricanes (CAR),10,1056,493,71,20,113,279,805,286,309,97,
2008,22,Edmonton Oilers (EDM),17,992,444,95,30,160,541,537,390,226,94,
2017,18,Nashville Predators (NSH),23,1167,556,120,36,144,532,796,353,287,99,1
2011,10,Toronto Maple Leafs (TOR),18,1063,577,113,27,135,413,854,384,265,109,
2015,15,Washington Capitals (WSH),28,1121,552,115,28,111,325,906,320,268,104,1
2015,3,NY Rangers Rangers (NYR),21,1064,584,111,22,106,347,997,368,282,95,9
2015,2,NY Islanders Islanders (NYI),21,1107,594,102,19,105,325,1252,356,316,106,10
2010,2,NY Islanders Islanders (NYI),10,984,593,79,22,145,589,807,327,311,85,
2014,15,Washington Capitals (WSH),18,1083,525,104,25,109,378,1023,281,279,91,9
2008,10,Toronto Maple Leafs (TOR),15,1206,574,113,34,162,448,748,376,255,82,
2006,19,St Louis Blues (STL),12,1048,581,88,24,177,626,599,416,227,84,
2006,2,NY Islanders Islanders (NYI),19,1077,575,106,27,165,548,873,375,343,49,16
2015,1,New Jersey Devils (NJD),19,947,469,88,25,126,400,875,273,236,99,
2005,21,Colorado Avalanche (COL),19,1134,622,143,47,241,582,514,331,410,107,13
2005,23,Vancouver Canucks (VAN),21,1138,464,128,48,258,659,648,319,261,64,
2005,2,NY Islanders Islanders (NYI),17,1065,514,118,43,232,644,689,346,300,61,
2006,18,Nashville Predators (NSH),26,1087,478,126,38,213,574,561,319,262,86,3
2006,9,Ottawa Senators (OTT),21,1268,620,126,35,204,596,892,415,336,61,9
2011,19,St Louis Blues (STL),21,1136,486,95,16,126,418,823,194,218,94,3
2015,28,San Jose Sharks (SJS),18,1087,576,99,26,119,342,830,381,229,99,11
2016,24,Anaheim Ducks (ANA),18,1114,524,102,30,123,451,992,338,176,85,6
2011,29,Columbus Blue Jackets (CBJ),10,1167,408,88,23,155,430,926,185,278,104,
2016,25,Dallas Stars (DAL),16,1093,604,96,22,135,438,719,290,193,104,
2018,4,Philadelphia Flyers (PHI),15,1200,543,109,14,111,380,856,350,199,104,
2016,14,Tampa Bay Lightning (TBL),18,1110,453,104,30,133,409,758,307,255,82,
2010,12,Carolina Hurricanes (CAR),17,1094,533,99,24,148,383,894,263,302,55,
2008,30,Minnesota Wild (MIN),18,996,446,89,34,149,430,648,289,187,98,
2016,22,Edmonton Oilers (EDM),19,1162,525,106,26,120,357,931,371,225,99,8
2011,18,Nashville Predators (NSH),20,1038,553,97,27,130,407,675,328,285,83,5
2017,25,Dallas Stars (DAL),21,1237,562,113,24,120,403,802,301,246,96,
2010,9,Ottawa Senators (OTT),16,1066,486,86,23,118,506,738,369,297,65,
2013,18,Nashville Predators (NSH),18,1156,615,95,27,129,427,799,308,286,97,
2008,28,San Jose Sharks (SJS),28,1276,441,125,39,174,476,885,377,273,78,1
2006,29,Columbus Blue Jackets (CBJ),14,1043,463,98,38,233,619,627,212,238,73,
2017,28,San Jose Sharks (SJS),20,1139,550,96,28,125,319,641,475,375,104,11
2005,27,Phoenix Coyotes (PHX),20,1040,467,114,49,257,727,634,322,253,70,
2005,13,Florida Panthers (FLA),15,1252,440,106,31,204,645,501,330,210,95,
2009,20,Calgary Flames (CGY),22,1048,502,107,24,139,600,838,394,259,100,
2011,6,Boston Bruins (BOS),24,1114,469,118,24,124,535,714,251,191,71,7
2009,13,Florida Panthers (FLA),16,1179,666,112,28,164,525,866,250,254,62,
2016,23,Vancouver Canucks (VAN),16,1029,445,88,16,114,352,679,252,218,102,
2018,24,Anaheim Ducks (ANA),19,1098,590,98,17,114,379,893,459,262,107,
2010,5,Pittsburgh Penguins (PIT),25,1244,494,123,27,160,662,1015,269,200,107,4
2015,5,Pittsburgh Penguins (PIT),18,1182,502,85,22,125,323,923,282,230,98,4
2016,21,Colorado Avalanche (COL),12,992,511,72,16,119,400,799,224,274,88,
2009,30,Minnesota Wild (MIN),20,1160,491,103,28,161,448,819,318,229,91,
2016,29,Columbus Blue Jackets (CBJ),26,1055,517,121,28,102,316,678,237,213,89,4
2016,53,Arizona Coyotes (ARI),11,1029,532,77,16,108,428,998,253,181,100,
2011,9,Ottawa Senators (OTT),18,1193,539,114,24,132,550,876,352,309,71,16
2005,1,New Jersey Devils (NJD),16,1144,430,106,36,244,476,520,462,277,92,8
2006,11,Atlanta Thrashers (ATL),23,1204,610,123,38,217,627,730,444,386,84,12
2011,2,NY Islanders Islanders (NYI),13,1064,592,82,22,119,376,780,309,423,101,
2018,17,Detroit Red Wings (DET),15,1147,552,110,19,104,361,846,533,249,104,
2006,22,Edmonton Oilers (EDM),18,975,574,103,28,194,579,597,666,405,96,
2006,28,San Jose Sharks (SJS),25,1086,503,112,44,201,488,733,432,238,115,5
2010,24,Anaheim Ducks (ANA),19,1137,603,100,28,136,626,899,266,196,112,9
2005,15,Washington Capitals (WSH),13,1031,531,100,29,216,695,649,412,286,94,
2016,26,Los Angeles Kings (LAK),17,1089,503,88,16,104,347,1103,286,134,97,
2009,28,San Jose Sharks (SJS),25,1243,534,131,32,155,575,938,350,279,70,2
2014,26,Los Angeles Kings (LAK),18,1202,465,102,27,131,398,1212,392,193,109,
2003,4,Philadelphia Flyers (PHI),19,1191,424,110,37,150,584,557,404,216,94,8
2015,9,Ottawa Senators (OTT),18,1059,554,108,22,119,463,1045,337,266,71,
2003,26,Los Angeles Kings (LAK),16,1061,383,101,25,182,557,568,417,175,101,
2016,6,Boston Bruins (BOS),20,1320,534,93,17,119,382,840,304,276,103,13
2006,4,Philadelphia Flyers (PHI),9,1053,527,87,27,191,607,570,477,243,89,
2013,15,Washington Capitals (WSH),20,1215,582,114,37,147,539,961,314,301,113,
2018,25,Dallas Stars (DAL),20,1158,607,106,20,100,329,877,437,270,110,14
2013,22,Edmonton Oilers (EDM),13,1145,618,104,27,151,485,955,467,278,113,
2014,4,Philadelphia Flyers (PHI),14,1062,523,100,25,118,327,938,278,187,101,
2013,9,Ottawa Senators (OTT),17,1395,507,117,28,154,546,1322,405,296,109,
2010,10,Toronto Maple Leafs (TOR),13,1037,569,82,26,150,398,847,421,241,83,
2015,12,Carolina Hurricanes (CAR),16,1133,439,91,20,117,234,732,313,332,90,
2005,22,Edmonton Oilers (EDM),22,1155,602,125,45,244,615,494,635,331,102,14
2003,13,Florida Panthers (FLA),12,1089,462,84,23,133,584,700,334,233,80,
