Season,team_id,Total Wins,Total Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,prob_no_playoffs,prob_playoffs,Standing,Predicted Standing
2003,17,22,1150,430,126,33,158,534,566,414,306,103,0.22186825,0.77813175,1,1
2003,2,19,1031,476,110,21,146,544,749,351,280,94,0.518875689,0.481124311,15,2
2003,4,19,1191,424,110,37,150,584,557,404,216,94,0.546575862,0.453424138,8,3
2003,21,17,1072,455,101,33,155,560,588,298,377,77,0.556410057,0.443589943,10,4
2003,23,20,1097,379,107,27,185,521,626,396,269,98,0.563212386,0.436787614,7,5
2003,10,21,991,444,110,33,184,686,738,417,204,112,0.586181824,0.413818176,5,6
2003,19,21,954,412,91,32,151,609,592,351,154,86,0.605891589,0.394108411,14,7
2003,9,18,1080,377,113,35,165,492,904,496,286,106,0.612959566,0.387040434,6,8
2003,11,19,1038,464,115,29,191,699,635,391,231,104,0.677395987,0.322604013,0,9
2003,1,19,1019,356,86,22,135,382,401,468,281,101,0.819421135,0.180578865,9,10
2003,20,19,985,401,82,22,155,615,591,339,202,97,0.839494116,0.160505884,12,11
2003,18,16,945,368,88,26,189,624,480,350,219,63,0.876366396,0.123633604,16,12
2003,6,14,1135,410,91,22,141,559,526,363,298,61,0.882716961,0.117283039,4,13
2003,3,15,1060,431,99,20,138,716,634,358,227,91,0.888283521,0.111716479,0,14
2003,28,14,1000,327,93,31,160,569,523,319,147,97,0.898155822,0.101844178,3,15
2003,26,16,1061,383,101,25,182,557,568,417,175,101,0.908368979,0.091631021,0,16
2003,8,17,1027,458,87,25,149,492,592,475,289,97,0.920804125,0.079195875,13,
2003,14,15,1015,434,79,22,165,531,457,334,249,92,0.946314637,0.053685363,2,
2003,27,11,956,353,88,22,153,648,647,273,167,87,0.958550309,0.041449691,0,
2003,13,12,1089,462,84,23,133,584,700,334,233,80,0.959473498,0.040526502,0,
2003,24,12,1055,332,74,22,142,514,492,376,348,84,0.968216206,0.031783794,0,
